Filename,Start Time (s),End Time (s),Detected Feature
GE_M1_10ml.wav,5649.6239455782315,5653.141768707483,Envelope
GE_M1_10ml.wav,5656.404172335601,5656.798911564626,Envelope
GE_M1_10ml.wav,5657.68126984127,5659.492426303855,Envelope
GE_M1_10ml.wav,5659.852335600907,5660.43283446712,Envelope
GE_M1_10ml.wav,5661.454512471655,5661.826031746032,Envelope
GE_M1_10ml.wav,5662.081451247165,5667.004081632653,Envelope
GE_M1_10ml.wav,5668.130249433107,5673.2154195011335,Envelope
GE_M1_10ml.wav,5678.277369614512,5682.677551020408,Envelope
GE_M1_10ml.wav,5686.253424036281,5692.2557823129255,Envelope
GE_M1_10ml.wav,5696.063854875283,5705.758185941043,Envelope
GE_M1_10ml.wav,5710.448616780045,5712.654512471655,Envelope
GE_M1_10ml.wav,5746.033197278912,5753.800272108843,Envelope
GE_M1_10ml.wav,5754.392380952381,5770.820498866213,Envelope
GE_M1_10ml.wav,5774.442811791383,5778.297324263039,Envelope
GE_M1_10ml.wav,5783.405714285715,5787.562086167801,Envelope
GE_M1_10ml.wav,5791.021859410431,5809.145034013605,Envelope
GE_M1_10ml.wav,5812.53514739229,5817.9686167800455,Envelope
GE_M1_10ml.wav,5820.371882086168,5820.557641723356,Envelope
GE_M1_10ml.wav,5821.753469387755,5822.751927437642,Envelope
GE_M1_10ml.wav,5824.27283446712,5825.340952380952,Envelope
GE_M1_10ml.wav,5826.362630385487,5826.757369614513,Envelope
GE_M1_10ml.wav,5828.266666666666,5830.18231292517,Envelope
GE_M1_10ml.wav,5831.447800453515,5833.189297052154,Envelope
GE_M1_10ml.wav,5833.444716553288,5834.75664399093,Envelope
GE_M1_10ml.wav,5836.277551020408,5837.798458049887,Envelope
GE_M1_10ml.wav,5838.1003174603175,5839.447074829932,Envelope
GE_M1_10ml.wav,5842.535328798186,5845.762902494331,Envelope
GE_M1_10ml.wav,5846.447891156463,5849.153015873016,Envelope
GE_M1_10ml.wav,5850.070204081632,5852.485079365079,Envelope
GE_M1_10ml.wav,5853.529977324263,5855.886802721088,Envelope
GE_M1_10ml.wav,5856.65306122449,5856.943310657596,Envelope
GE_M1_10ml.wav,5859.4394557823125,5859.834195011338,Envelope
GE_M1_10ml.wav,5863.096598639456,5863.549387755102,Envelope
GE_M1_10ml.wav,5864.0718367346935,5865.256054421769,Envelope
GE_M1_10ml.wav,5865.8133333333335,5866.02231292517,Envelope
GE_M1_10ml.wav,5866.254512471655,5870.329614512471,Envelope
GE_M1_10ml.wav,5870.585034013606,5871.664761904762,Envelope
GE_M1_10ml.wav,5877.585850340136,6610.082539682539,Envelope
GE_M1_10ml.wav,6617.768344671202,6625.523809523809,Envelope
GE_M1_10ml.wav,6632.454965986394,6632.60589569161,Envelope
GE_M1_10ml.wav,6633.975873015873,6635.427120181406,Envelope
GE_M1_10ml.wav,6635.740589569161,6636.379138321995,Envelope
GE_M1_10ml.wav,6636.588117913832,6642.660136054422,Envelope
GE_M1_10ml.wav,6645.783219954648,6646.340498866213,Envelope
GE_M1_10ml.wav,6647.106757369615,6649.161723356009,Envelope
GE_M1_10ml.wav,10.924988662131518,11.04108843537415,Spectral Flux
GE_M1_10ml.wav,11.110748299319727,11.261678004535147,Spectral Flux
GE_M1_10ml.wav,11.284897959183674,11.42421768707483,Spectral Flux
GE_M1_10ml.wav,11.459047619047618,12.898684807256236,Spectral Flux
GE_M1_10ml.wav,12.921904761904761,12.921904761904761,Spectral Flux
